activity_date,customer,po_number,notes,run_config,target_qty,processed_qty,msf,run_start_time,net_prod_min,downtime_min,setup_min,msf_per_net_hr
2026-05-01,Whitebird,2035417-1L,Jaycee Herb Traders | 175806,Left + Right,10000,6860,38.23,2026-05-01 07:50:17,372.75,140.25,0,6.15
2026-04-30,Whitebird,2035396-1L,Moyy|Whitebird | 103245,Left + Right,1600,980,7.54,2026-04-30 07:44:08,169.35,73.22,21.97,2.67
2026-04-30,Whitebird,2035417-1L,Jaycee Herb Traders | 175806,Left + Right,10000,3430,19.12,2026-04-30 12:19:56,87.02,1083.33,19.83,13.18
2026-04-29,Whitebird,2035398-1L,Moyy|Whitebird | 142188,Left + Right,4400,4500,21.9,2026-04-29 15:14:24,967.6,0,156.42,1.36
2026-04-28,Whitebird,99046,F9594 - 350 / unit,Full,1500,1750,14.58,2026-04-28 17:09:11,0.18,0,0,4772.74
2026-04-27,Whitebird,99018,W7211 - 350/unit,Full,5000,4350,58,2026-04-27 08:05:53,273.83,228.37,0,12.71
2026-04-27,Whitebird,99046,F9594 - 350 / unit,Full,1500,0,0,2026-04-27 17:21:29,33.92,0.18,52.83,0
2026-04-24,Whitebird,99018,W7211 - 350/unit,Full,5000,650,8.67,2026-04-24 12:41:33,77.85,0.18,67.25,6.68
2026-04-23,Whitebird,SCA-Test,Nozomi Test sheets,Full,300,100,1.55,2026-04-23 08:57:30,0.53,0,0.02,174.34
2026-04-23,Whitebird,2035319-1N,Nexal Aluminum | 129832,Full,1500,1600,17.05,2026-04-23 13:06:19,264.67,0,137.82,3.86
2026-04-22,Whitebird,2035045-1R,Mitchell's Soup,Full,4400,2125,32.93,2026-04-22 08:06:52,559.22,0,0,3.53
2026-04-21,Whitebird,2035045-1R,Mitchell's Soup,Full,4400,2600,40.29,2026-04-21 12:52:00,155.65,2.28,0,15.53
2026-04-20,Whitebird,2034897-1L,Intelcom,Full,9000,2800,36.84,2026-04-20 16:32:10,0.22,0,0,10202.86
2026-04-16,Whitebird,2035045-1R,Mitchell's Soup,Full,4400,1,0.02,2026-04-16 12:09:33,0.45,0.43,0,2.07
2026-04-16,Whitebird,2034899-1L,Moyy S/R,Left + Right,1000,1000,5.43,2026-04-16 12:11:16,0.38,0,0.05,849.52
2026-04-15,Whitebird,2035196-1L,Moyy|Whitebird | 104944,Left + Right,1100,1100,9.65,2026-04-15 00:00:01,0,0,0,
2026-04-15,Whitebird,2035039-1L,Moyy S/R,Left + Right,1500,1500,13.62,2026-04-15 00:00:01,0,0,0,
2026-04-15,Whitebird,2035189-1L,Moyy|Whitebird | 105292,Left + Right,1300,1300,12.62,2026-04-15 00:00:01,0,0,0,
2026-04-14,Whitebird,2034934-1L,Dillon,Left + Right,1100,1100,5.56,2026-04-14 00:00:01,0,0,0,
2026-04-14,Whitebird,2035147-1L,Oxi Brite,Left + Right,5500,5500,39.7,2026-04-14 00:00:01,0,0,0,
2026-04-13,Whitebird,2035155-1N,Turn-key,Full,4000,4000,56.74,2026-04-13 00:00:01,0,9887.58,114.07,
2026-04-13,Whitebird,2035149-1N,Dolphin Creative,Full,2375,2375,28.13,2026-04-13 00:00:01,0.02,0,103.75,101264.59
2026-04-10,Whitebird,2035138,Coortek,Full,10000,5000,54.3,2026-04-10 08:45:40,3580.18,0,0,0.91
2026-04-10,Whitebird,2035045-1R,Mitchell's Soup,Full,4400,1,0.02,2026-04-10 11:27:47,8681.33,0,0.05,0
2026-04-09,Whitebird,2035138,Coortek,Full,10000,5000,54.3,2026-04-09 10:57:21,546.43,0,0.05,5.96
2026-04-08,Whitebird,2035133-1L,Mory Eng,Full,2000,2000,18.27,2026-04-08 15:57:51,0.22,0,203.55,5058.88
2026-04-07,Whitebird,2034973-1L,Moyy S/R,Full,1000,1000,9.89,2026-04-07 09:59:39,128.05,0,0,4.63
2026-04-07,Whitebird,2034943-1L,Moyy S/R,Full,1000,1000,11.25,2026-04-07 12:07:34,129.9,0,0.03,5.2
2026-04-07,Whitebird,2035102-1R,Five Star,Full,120,120,1.21,2026-04-07 15:13:52,1.32,0,0.02,55.25
2026-04-07,Whitebird,2034937-1,Koolatron,Full,2600,2600,24.35,2026-04-07 16:05:12,200.17,0,0.02,7.3
2026-04-06,Whitebird,2034972-1L,Moyy S/R,Full,1000,1002,9.98,2026-04-06 09:19:54,237.08,0.03,0,2.53
2026-04-06,Whitebird,2034973-1L,Moyy S/R,Full,1000,1,0.01,2026-04-06 15:52:21,205.6,881.7,0.05,0
