docket_id,customer_id,short_name,order_size1,order_size2,net_out,unitizing_bundle_qty,unitizing_unit_qty,unitizing_max_height,unitizing_piling_pattern_id
109839,11806,,22.1,66.02,1.0,0,0,48,0
109840,11806,,22.1,66.02,1.0,0,0,48,0
109841,11806,,22.1,66.02,1.0,0,0,48,0
109842,11806,,22.1,66.02,1.0,0,0,48,0
109843,11806,,22.1,66.02,1.0,0,0,48,0
109844,11806,,22.1,66.02,1.0,0,0,48,0
109845,11806,,22.1,66.02,1.0,0,0,48,0
109846,11806,,22.1,66.02,1.0,0,0,48,0
109847,11806,,22.1,66.02,1.0,0,0,48,0
109848,11806,,22.1,66.02,1.0,0,0,48,0
109849,11806,,22.1,66.02,1.0,0,0,48,0
109850,11806,,22.1,66.02,1.0,0,0,48,0
109851,11806,,22.1,66.02,1.0,0,0,48,0
109861,11806,,22.1,66.02,1.0,0,0,48,0
109862,11806,,22.1,66.02,1.0,0,0,48,0
109866,11806,,22.1,66.02,1.0,0,0,48,0
109867,11806,,22.1,66.02,1.0,0,0,48,0
109868,11806,,22.1,66.02,1.0,0,0,48,0
109869,11806,,22.1,66.02,1.0,0,0,48,0
109870,11806,,22.1,66.02,1.0,0,0,48,0
109871,11806,,22.1,66.02,1.0,0,0,48,0
109872,11806,,22.1,66.02,1.0,0,0,48,0
109873,11806,,22.1,66.02,1.0,0,0,48,0
109874,11806,,22.1,66.02,1.0,0,0,48,0
109875,11806,,22.1,66.02,1.0,0,0,48,0
109876,11806,,22.1,66.02,1.0,0,0,48,0
109877,11806,,22.1,66.02,1.0,0,0,48,0
109878,11806,,22.1,66.02,1.0,0,0,48,0
109879,11806,,22.1,66.02,1.0,0,0,48,0
109880,11806,,22.1,66.02,1.0,0,0,48,0
109892,11806,,22.1,66.02,1.0,0,0,48,0
109893,11806,,22.1,66.02,1.0,0,0,48,0
109894,11806,,22.1,66.02,1.0,0,0,48,0
109895,11806,,22.1,66.02,1.0,0,0,48,0
109896,11806,,22.1,66.02,1.0,0,0,48,0
109897,11806,,22.1,66.02,1.0,0,0,48,0
109898,11806,,22.1,66.02,1.0,0,0,48,0
109899,11806,,22.1,66.02,1.0,0,0,48,0
109909,11806,,22.1,66.02,1.0,0,0,48,0
109910,11806,,22.1,66.02,1.0,0,0,48,0
109911,11806,,22.1,66.02,1.0,0,0,48,0
109917,11806,,22.1,66.02,1.0,0,0,48,0
109918,11806,,22.1,66.02,1.0,0,0,48,0
109921,11806,,22.1,66.02,1.0,0,0,48,0
109923,11806,,22.1,66.02,1.0,0,0,48,0
109924,11806,,22.1,66.02,1.0,0,0,48,0
109925,11806,,22.1,66.02,1.0,0,0,48,0
109926,11806,,22.1,66.02,1.0,0,0,48,0
109927,11806,,22.1,66.02,1.0,0,0,48,0
109928,11806,,22.1,66.02,1.0,0,0,48,0
109929,11806,,22.1,66.02,1.0,0,0,48,0
