purchase_id,purchase_line_nbr,receipt_dte,receipt_qty,supplier_shipping_num
2035941,1,2026-07-06 12:32:35,579,13471
2037099,1,2026-07-06 12:32:35,1855,13471
2037148,1,2026-07-06 12:32:35,1570,13471
2037113,1,2026-07-06 12:32:35,1235,13471
2037130,1,2026-07-06 12:32:35,1597,13471
2037115,1,2026-07-06 12:32:35,1522,13471
2037117,1,2026-07-06 12:32:35,2609,13471
2037116,1,2026-07-06 12:32:35,2722,13471
2037114,1,2026-07-06 12:32:35,1235,13471
2037134,1,2026-07-06 12:32:35,192,13471
2037132,1,2026-07-06 12:32:35,667,13471
2037131,1,2026-07-06 12:32:35,514,13471
2037133,1,2026-07-06 12:32:35,621,13471
2037102,1,2026-07-06 14:36:36,1570,13471
2036016,1,2026-07-06 15:15:20,5975,
2037160,1,2026-07-07 11:02:29,2200,1553
2037149,1,2026-07-07 11:02:29,1175,1553
2037152,1,2026-07-07 11:02:29,400,1553
2037118,1,2026-07-07 11:02:29,460,1553
2037144,1,2026-07-07 11:02:29,1686,1553
2035959,1,2026-07-07 11:02:29,749,1553
2037075,1,2026-07-07 11:02:29,620,1553
2037091,1,2026-07-07 11:28:33,908,523153
2037065,1,2026-07-07 13:53:39,820,1119951
2037124,1,2026-07-07 15:20:52,1890,1639817
2037140,1,2026-07-07 15:20:52,940,523158
2037207,1,2026-07-07 16:19:41,50,
2036016,1,2026-07-07 16:30:17,9975,
2037170,1,2026-07-08 08:21:24,4250,1120310
2037175,1,2026-07-08 09:29:32,2566,1592
2037129,1,2026-07-08 09:34:41,5200,
2037126,1,2026-07-08 09:35:06,11336,
2037200,1,2026-07-08 09:35:39,12000,
2037170,1,2026-07-08 13:52:25,5200,1120365
2037078,1,2026-07-08 14:12:23,1,2037078
1002037078,1,2026-07-08 14:12:23,1,2037078
2037198,1,2026-07-08 15:25:09,5883,1641
2037167,1,2026-07-08 15:25:09,1404,1641
2037194,1,2026-07-08 15:25:09,1320,1641
2037182,1,2026-07-09 09:30:28,593,1669
2037183,1,2026-07-09 09:30:28,2160,1669
2037186,1,2026-07-09 09:30:28,1407,1669
2037188,1,2026-07-09 09:30:28,780,1669
2037195,1,2026-07-09 09:30:28,1596,1669
2037198,1,2026-07-09 09:30:28,590,1669
2037199,1,2026-07-09 09:33:38,4329,1669
2037202,1,2026-07-09 09:33:38,4057,1669
2037208,1,2026-07-09 09:33:38,1188,1669
2037209,1,2026-07-09 09:33:38,819,1669
2035640,1,2026-07-09 16:34:33,7803,
2037257,1,2026-07-10 09:10:15,450,1701
2037187,1,2026-07-10 09:10:15,2180,1701
2037233,1,2026-07-10 09:10:15,2810,1701
2035925,1,2026-07-10 09:10:15,163,1701
2037178,1,2026-07-10 09:10:15,251,1701
2037184,1,2026-07-10 09:10:15,1779,1701
2035640,1,2026-07-10 15:30:11,1400,
2037226,1,2026-07-10 15:30:11,4874,
2037176,1,2026-07-10 15:30:11,7292,
2035505,1,2026-07-13 11:57:48,1520,
2035981,1,2026-07-14 07:48:59,568,
2037195,1,2026-07-14 07:53:53,669,1769
2037161,1,2026-07-14 07:53:53,545,1769
2037193,1,2026-07-14 07:53:53,758,1769
2037197,1,2026-07-14 07:53:53,354,1769
2037210,1,2026-07-14 07:53:53,550,1769
2037232,1,2026-07-14 07:53:53,5720,1769
2037235,1,2026-07-14 07:53:53,1080,1769
2037256,1,2026-07-14 07:53:53,696,1769
2037288,1,2026-07-14 07:53:53,864,1769
2037176,1,2026-07-14 07:59:28,14094,
2037163,1,2026-07-14 09:08:56,1,11337
2037164,1,2026-07-14 09:09:35,1,11344
2037279,1,2026-07-14 09:10:46,1,204302
2037050,1,2026-07-14 11:11:57,1510,1120586
2037219,1,2026-07-14 11:38:27,2052,1120680
2036017,1,2026-07-15 08:02:44,14600,
2036020,1,2026-07-15 08:03:05,5326,
2037251,1,2026-07-15 09:03:49,1,PS260114
2037076,1,2026-07-15 09:41:45,1,PS260045
2035524,1,2026-07-15 12:10:03,1820,
2037072,1,2026-07-16 08:01:56,5200,
2037284,1,2026-07-16 08:01:56,5200,
2036020,1,2026-07-16 08:01:56,9982,
2035614,1,2026-07-16 08:08:45,3672,
2037304,1,2026-07-16 10:19:56,1165,1856
2037289,1,2026-07-16 10:19:56,3224,1856
2037291,1,2026-07-16 10:19:56,1191,1856
2037196,1,2026-07-16 10:19:56,880,1856
2037301,1,2026-07-16 10:19:56,2750,1856
2037160,1,2026-07-16 10:23:55,2145,1856
2037175,1,2026-07-16 10:24:43,560,1856
2037212,1,2026-07-16 11:43:30,8150,1120912
2037223,1,2026-07-16 11:46:46,359,1120853
2037236,1,2026-07-16 11:48:19,4865,1120907
2037135,1,2026-07-16 11:52:55,1405,1120893
2037285,1,2026-07-16 12:30:51,5507,1822
2037303,1,2026-07-16 12:30:51,596,1822
2037262,1,2026-07-16 12:30:51,974,1822
2037278,1,2026-07-16 12:30:51,1178,1822
2037175,1,2026-07-16 12:32:45,1900,1822
2037243,1,2026-07-16 14:17:16,8100,1120852
2037315,1,2026-07-16 14:34:01,28,300635
2037224,1,2026-07-17 09:16:43,2200,1120974
2037225,1,2026-07-17 09:16:43,1248,1120975
2037346,1,2026-07-17 09:36:09,1188,1918
2037341,1,2026-07-17 09:36:09,7732,1918
2037252,1,2026-07-17 10:34:30,7156,1917
2037310,1,2026-07-17 10:34:30,1239,1917
2037338,1,2026-07-17 10:34:30,325,1917
2037349,1,2026-07-17 10:57:42,1,204413
2037351,1,2026-07-17 10:58:27,1,204414
2037357,1,2026-07-17 10:59:11,1,204421
2037308,1,2026-07-17 16:25:35,4060,
2037252,1,2026-07-20 08:04:43,4831,1905
2037312,1,2026-07-20 08:28:15,3447,1905
2037334,1,2026-07-20 10:23:00,2200,003024
2037234,1,2026-07-20 12:00:59,770,531915
2037348,1,2026-07-20 12:00:59,3300,531915
2037379,1,2026-07-20 12:00:59,1611,531915
2037382,1,2026-07-20 12:00:59,429,531915
2037388,1,2026-07-20 12:00:59,323,531915
2037313,1,2026-07-20 12:20:39,1624,1905
2037342,1,2026-07-20 12:20:39,813,1905
2037343,1,2026-07-20 12:20:39,880,1905
2037276,1,2026-07-20 15:41:46,1460,1905
2037290,1,2026-07-20 15:41:46,1623,1905
2037302,1,2026-07-20 15:41:46,595,1905
2037305,1,2026-07-20 15:41:46,990,1905
2037306,1,2026-07-20 15:41:46,473,1905
2037307,1,2026-07-20 15:41:46,600,1905
2037309,1,2026-07-20 15:41:46,1618,1905
2037153,1,2026-07-20 16:27:51,3800,
2037179,1,2026-07-20 21:32:09,2979,1989
2037314,1,2026-07-20 21:32:09,4028,1989
2037322,1,2026-07-20 21:32:09,1100,1989
2037344,1,2026-07-20 21:32:09,1100,1989
2037373,1,2026-07-20 21:32:09,2276,1989
2037374,1,2026-07-20 21:32:09,1210,1989
2037377,1,2026-07-20 21:32:09,605,1989
2037378,1,2026-07-20 21:32:09,596,1989
2037383,1,2026-07-20 21:32:09,2211,1989
2037352,1,2026-07-21 07:15:56,1,11378
2037213,1,2026-07-21 09:24:55,2400,1121158
2037363,1,2026-07-21 12:22:15,5500,
2037375,1,2026-07-21 12:53:07,1190,2003
2037384,1,2026-07-21 12:53:07,6192,2003
2037385,1,2026-07-21 12:53:07,594,2003
2037112,1,2026-07-21 15:07:11,1700,
2037229,1,2026-07-21 16:16:53,2600,
2037264,1,2026-07-21 16:17:07,5590,
2037266,1,2026-07-21 16:18:27,17500,26255
2037230,1,2026-07-21 16:19:42,4400,
2037265,1,2026-07-21 16:21:29,2190,26253
2038456,1,2026-07-21 16:59:37,900,
2037408,1,2026-07-21 17:27:32,254,2043
2037426,1,2026-07-21 17:27:32,5277,2043
2037404,1,2026-07-21 17:29:23,9700,2044
2037428,1,2026-07-21 17:29:23,1083,2044
2037353,1,2026-07-22 08:28:11,1,NG2601398
2037370,1,2026-07-22 14:43:36,1,11385
2037345,1,2026-07-22 14:49:50,12762,2007
2037364,1,2026-07-22 14:49:50,275,2007
2037371,1,2026-07-22 14:49:50,594,2007
2037376,1,2026-07-22 14:49:50,600,2007
2037384,1,2026-07-22 14:49:50,585,2007
2037386,1,2026-07-22 14:49:50,77,2007
2037426,1,2026-07-22 14:49:50,2494,2007
2037427,1,2026-07-22 14:49:50,580,2007
2037408,1,2026-07-22 15:35:55,344,2046
2037415,1,2026-07-22 15:35:55,1120,2046
2037427,1,2026-07-22 15:35:55,1620,2046
2037430,1,2026-07-22 15:35:55,778,2046
2037431,1,2026-07-22 15:35:55,780,2046
2037432,1,2026-07-22 15:35:55,10804,2046
2037268,1,2026-07-22 17:11:49,8750,26259
2037267,1,2026-07-22 17:11:49,17500,26258
2037415,1,2026-07-23 09:43:33,6974,2061
2037406,1,2026-07-23 09:43:33,3040,2061
2035926,1,2026-07-23 09:57:33,247,1271
2037406,1,2026-07-23 10:21:26,6532,2068
2037253,1,2026-07-23 10:54:58,75,
2037237,1,2026-07-23 10:56:40,685,1121310
2037223,1,2026-07-23 10:59:15,950,1121325
2037414,1,2026-07-23 16:56:17,5600,
2037369,1,2026-07-24 06:54:44,1,2601421
