Ticker,Price,Market_Cap_B,PE_Ratio,Forward_PE,PEG_Ratio,Dividend_Yield,Beta,ROE,Profit_Margin,Debt_to_Equity,Current_Ratio,Price_vs_SMA50,Price_vs_SMA200,Change_1M,Change_3M,Volatility,Sector,Industry,52W_High,52W_Low
AAPL,269.48,3960.797134848,34.111393,29.032974,,39.0,1.107,152.02099,27.037,102.63,0.974,0.42,13.66,-0.56,0.02,31.88,Technology,Consumer Electronics,288.62,169.21
MSFT,411.21,3053.492895744,25.700624,21.758581,,89.0,1.084,34.390998,39.044000000000004,31.539,1.386,-13.1,-15.26,-13.05,-23.93,25.67,Technology,Software - Infrastructure,555.45,344.79
GOOGL,339.71,4114.608816128,33.56818,30.163599,,25.0,1.086,35.449999999999996,32.233003,11.424,1.747,6.13,43.89,7.79,23.81,31.79,Communication Services,Internet Content & Information,349.0,140.53
AMZN,238.62,2550.899146752,33.655853,30.425785,,0.0,1.385,24.326999999999998,11.063,43.405,1.009,2.3,7.28,5.35,3.61,34.79,Consumer Cyclical,Internet Retail,258.6,161.38
META,691.7,1749.693497344,29.409014,19.50987,,30.0,1.284,30.238,30.084,39.164,2.599,6.1,1.35,6.35,-7.9,39.57,Communication Services,Internet Content & Information,796.25,479.8
NVDA,180.34,4390.737936384,44.638615,23.531223,,2.0,2.314,107.35900000000001,53.007000000000005,9.102,4.468,-1.87,7.03,-4.51,-12.89,44.25,Technology,Semiconductors,212.19,86.62
TSLA,421.96,1583.376105472,383.59998,145.23851,,0.0,1.887,4.9250003,4.0009998,17.763,2.164,-5.04,11.35,-3.68,-8.57,62.3,Consumer Cyclical,Auto Manufacturers,498.83,214.25
NFLX,79.94,339.096666112,31.59684,20.92117,,0.0,1.712,42.762001999999995,24.304001,63.782,1.186,-14.6,-29.05,-12.14,-27.35,32.59,Communication Services,Entertainment,134.115,79.62
ADBE,271.93,113.829896192,16.283232,10.307668,,0.0,1.515,55.425999999999995,29.997,57.266,0.996,-16.7,-23.54,-18.41,-19.51,32.28,Technology,Software - Application,465.7,271.02
CRM,196.38,186.953760768,26.254011,14.973832,,85.0,1.276,12.184000000000001,17.913,19.385,0.984,-19.56,-22.38,-22.57,-21.78,33.85,Technology,Software - Application,348.04,193.12
ORCL,154.67,444.535635968,29.073307,19.52352,,129.0,1.633,69.026,25.280002000000003,432.511,0.909,-19.65,-29.37,-20.76,-43.67,60.1,Technology,Software - Infrastructure,345.72,118.86
INTC,49.25,246.012542976,,49.662197,,0.0,1.377,0.022000000000000002,-0.505,37.282,2.017,18.44,63.59,25.06,19.13,69.7,Technology,Semiconductors,54.6,17.67
AMD,242.11,394.165157888,92.76246,23.485851,,0.0,1.949,5.317,10.323,6.366,2.308,9.09,36.53,8.34,-8.41,60.99,Technology,Semiconductors,267.08,76.48
QCOM,147.18,157.629775872,29.435999,11.9840145,,242.0,1.238,23.34,12.512,73.767,2.816,-12.46,-7.81,-14.92,-17.2,38.85,Technology,Semiconductors,205.95,120.8
AVGO,320.33,1518.772158464,67.155136,22.31282,,81.0,1.221,31.048,36.198002,166.032,1.705,-9.34,4.68,-7.85,-16.85,50.42,Technology,Semiconductors,414.61,138.1
IBM,294.31,275.101908992,26.419209,21.942343,,214.0,0.691,35.158001999999996,15.685001000000002,197.328,0.956,-2.73,6.46,0.96,-3.98,29.81,Technology,Information Technology Services,324.9,214.5
JPM,314.85,857.104318464,15.726773,13.642248,,191.0,1.053,16.134001,33.910000000000004,,,0.64,7.93,-2.83,3.52,25.65,Financial Services,Banks - Diversified,337.25,202.16
BAC,54.45,397.620903936,14.291339,10.986084,,206.0,1.273,10.190000000000001,28.401,,,0.85,11.35,-2.68,4.09,27.03,Financial Services,Banks - Diversified,57.55,33.07
WFC,92.31,289.76889856,14.746005,11.721011,,195.0,1.062,11.732,26.659,,,1.81,12.94,-3.04,7.9,29.14,Financial Services,Banks - Diversified,97.76,58.42
GS,938.99,284.25207808,18.282515,14.444518,,192.0,1.311,13.885,28.917998,528.8,2.795,4.92,25.78,2.7,20.51,31.49,Financial Services,Capital Markets,984.7,439.38
MS,182.91,290.700558336,17.91479,14.86829,,219.0,1.179,15.729000000000001,23.986,420.553,,2.97,21.36,1.11,12.81,30.84,Financial Services,Capital Markets,192.68,94.33
C,117.71,210.61451776,16.839771,9.79692,,204.0,1.141,6.8309999999999995,18.893999,,,4.6,25.19,-0.32,20.09,31.67,Financial Services,Banks - Diversified,124.17,55.51
V,328.93,632.605835264,30.856472,22.667116,,81.0,0.78,53.954,50.233000000000004,54.612,1.111,-2.59,-4.41,-5.07,-3.43,23.44,Financial Services,Credit Services,375.51,299.0
MA,550.72,492.03396608,33.33656,24.399687,,63.0,0.821,209.915,45.646997999999996,245.288,1.035,-0.39,-2.05,-2.06,-0.55,23.2,Financial Services,Credit Services,601.77,465.59
AXP,349.63,240.843210752,22.73277,17.446259,,94.0,1.128,33.992,16.174999,172.546,1.775,-4.8,6.86,-6.2,-2.18,31.84,Financial Services,Credit Services,387.49,220.43
WMT,127.71,1018.21284352,44.653847,43.001305,,74.0,0.671,23.660999999999998,3.259,66.747,0.803,11.4,23.89,13.26,24.9,25.64,Consumer Defensive,Discount Stores,128.165,79.81
HD,381.1,379.389444096,25.978188,25.33138,,241.0,1.089,162.909,8.7740004,544.586,1.051,6.03,2.55,10.2,1.46,23.44,Consumer Cyclical,Home Improvement Retail,426.75,326.31
NKE,60.93,90.199760896,35.631577,26.342754,,269.0,1.279,17.950001,5.426,80.099,2.063,-4.49,-8.24,-3.71,-6.17,42.09,Consumer Cyclical,Footwear & Accessories,82.44,52.28
MCD,319.48,227.982344192,27.259386,24.082455,,233.0,0.528,,32.04,,1.0,3.12,5.1,5.35,6.3,18.42,Consumer Cyclical,Restaurants,326.32,283.47
SBUX,93.04,106.000474112,77.53333,31.499582,,267.0,0.937,,3.6310002,,1.047,5.51,7.33,10.8,11.34,33.74,Consumer Cyclical,Restaurants,117.46,75.5
TGT,111.3,50.574626816,13.49091,14.514489,,409.99999999999994,1.136,25.094998,3.576,132.062,0.975,12.13,16.71,10.74,19.74,34.59,Consumer Defensive,Discount Stores,137.05,83.44
COST,977.92,434.155094016,52.351177,44.010124,,53.0,1.008,30.325000000000003,2.9610000000000003,26.968,1.038,7.7,3.09,14.6,7.48,21.98,Consumer Defensive,Discount Stores,1078.23,844.06
LOW,274.85,154.177519616,22.733664,21.160522,,175.0,0.978,,8.045,,1.04,8.72,15.22,11.82,15.76,25.11,Consumer Cyclical,Home Improvement Retail,281.36,206.39
JNJ,233.1,561.606688768,21.133274,18.580309,,223.0,0.347,35.557,28.456,57.766,,10.37,30.24,12.42,25.71,19.07,Healthcare,Drug Manufacturers - General,235.19,141.5
UNH,284.18,257.421197312,14.816475,14.134469,,311.0,0.415,12.537999999999998,2.694,77.08,0.788,-13.33,-12.0,-15.52,-19.47,51.19,Healthcare,Healthcare Plans,606.36,234.6
PFE,25.77,146.520686592,18.94853,9.016668,,667.0,0.441,10.597999399999999,15.654999,66.531,1.282,2.38,8.21,4.06,9.77,26.19,Healthcare,Drug Manufacturers - General,27.69,20.92
ABBV,225.66,398.82801152,172.25955,15.86575,,295.0,0.334,137.961,4.004,,0.725,1.03,9.53,-0.8,1.04,26.03,Healthcare,Drug Manufacturers - General,244.81,164.39
TMO,570.09,214.187425792,32.15398,21.168613,,30.0,0.949,13.024000999999998,15.045998999999998,73.566,1.89,-3.8,14.18,-3.78,2.19,31.99,Healthcare,Diagnostics & Research,643.99,385.46
ABT,109.02,189.744840704,29.30645,17.475607,,231.0,0.751,13.158,14.718,25.31,,-10.42,-14.7,-11.77,-11.94,23.57,Healthcare,Medical Devices,141.23,105.27
MRK,115.84,289.343209472,15.933975,11.68787,,294.0,0.296,39.485002,29.631999999999998,79.708,1.661,10.48,33.05,8.82,34.94,29.16,Healthcare,Drug Manufacturers - General,118.45,73.31
LLY,1003.46,899.558539264,49.261658,30.135275,,62.0,0.394,96.47,30.986000000000004,178.516,1.546,-4.81,17.46,-7.12,23.53,40.3,Healthcare,Drug Manufacturers - General,1133.95,623.78
XOM,143.73,606.133157888,21.452238,17.18196,,287.0,0.358,11.0810004,8.9049995,16.329,1.153,16.43,27.59,17.19,24.51,24.36,Energy,Oil & Gas Integrated,145.01,97.8
CVX,178.04,355.964911616,26.894258,19.487804,,400.0,0.672,28.639,6.611000000000001,21.239,,13.34,19.07,14.2,16.07,25.05,Energy,Oil & Gas Integrated,178.82,132.04
