Ticker,Price,Market_Cap_B,PE_Ratio,Forward_PE,PEG_Ratio,Dividend_Yield,Beta,ROE,Profit_Margin,Debt_to_Equity,Current_Ratio,Price_vs_SMA50,Price_vs_SMA200,Change_1M,Change_3M,Volatility,Sector,Industry,52W_High,52W_Low
HD,381.1,379.389444096,25.978188,25.33138,,241.0,1.089,162.909,8.7740004,544.586,1.051,6.03,2.55,10.2,1.46,23.44,Consumer Cyclical,Home Improvement Retail,426.75,326.31
MCD,319.48,227.982344192,27.259386,24.082455,,233.0,0.528,,32.04,,1.0,3.12,5.1,5.35,6.3,18.42,Consumer Cyclical,Restaurants,326.32,283.47
COST,977.92,434.155094016,52.351177,44.010124,,53.0,1.008,30.325000000000003,2.9610000000000003,26.968,1.038,7.7,3.09,14.6,7.48,21.98,Consumer Defensive,Discount Stores,1078.23,844.06
JNJ,233.1,561.606688768,21.133274,18.580309,,223.0,0.347,35.557,28.456,57.766,,10.37,30.24,12.42,25.71,19.07,Healthcare,Drug Manufacturers - General,235.19,141.5
XOM,143.73,606.133157888,21.452238,17.18196,,287.0,0.358,11.0810004,8.9049995,16.329,1.153,16.43,27.59,17.19,24.51,24.36,Energy,Oil & Gas Integrated,145.01,97.8
PG,155.32,363.524194304,22.976332,21.223364,,272.0,0.38,31.562,19.299999,68.719,0.724,7.43,2.33,10.32,5.14,18.83,Consumer Defensive,Household & Personal Products,179.99,137.62
KO,76.89,330.90895872,25.460264,23.876732,,265.0,0.364,42.442,27.339999999999996,144.771,1.211,8.19,10.98,11.24,13.28,17.53,Consumer Defensive,Beverages - Non-Alcoholic,77.5,62.59
PEP,162.85,222.954242048,27.186981,18.044622,,349.0,0.416,37.162,7.8200005,260.19,0.912,11.36,16.46,14.5,12.51,22.63,Consumer Defensive,Beverages - Non-Alcoholic,163.44,127.6
VZ,46.25,195.036250112,11.391625,8.812511,,612.0,0.316,17.069000000000003,12.4280006,171.781,0.913,15.4,13.37,16.12,17.02,24.25,Communication Services,Telecom Services,47.36,38.39
T,26.83,190.209933312,8.825658,10.401644,,413.99999999999994,0.608,18.805,17.471999999999998,120.664,0.906,9.84,2.32,10.52,7.97,22.65,Communication Services,Telecom Services,29.79,22.95
