Ticker,Price,Market_Cap_B,PE_Ratio,Forward_PE,PEG_Ratio,Dividend_Yield,Beta,ROE,Profit_Margin,Debt_to_Equity,Current_Ratio,Price_vs_SMA50,Price_vs_SMA200,Change_1M,Change_3M,Volatility,Sector,Industry,52W_High,52W_Low
AAPL,269.48,3960.797134848,34.111393,29.032974,,39.0,1.107,152.02099,27.037,102.63,0.974,0.42,13.66,-0.56,0.02,31.88,Technology,Consumer Electronics,288.62,169.21
GOOGL,339.71,4114.608816128,33.56818,30.163599,,25.0,1.086,35.449999999999996,32.233003,11.424,1.747,6.13,43.89,7.79,23.81,31.79,Communication Services,Internet Content & Information,349.0,140.53
AMZN,238.62,2550.899146752,33.655853,30.425785,,0.0,1.385,24.326999999999998,11.063,43.405,1.009,2.3,7.28,5.35,3.61,34.79,Consumer Cyclical,Internet Retail,258.6,161.38
IBM,294.31,275.101908992,26.419209,21.942343,,214.0,0.691,35.158001999999996,15.685001000000002,197.328,0.956,-2.73,6.46,0.96,-3.98,29.81,Technology,Information Technology Services,324.9,214.5
JPM,314.85,857.104318464,15.726773,13.642248,,191.0,1.053,16.134001,33.910000000000004,,,0.64,7.93,-2.83,3.52,25.65,Financial Services,Banks - Diversified,337.25,202.16
BAC,54.45,397.620903936,14.291339,10.986084,,206.0,1.273,10.190000000000001,28.401,,,0.85,11.35,-2.68,4.09,27.03,Financial Services,Banks - Diversified,57.55,33.07
WFC,92.31,289.76889856,14.746005,11.721011,,195.0,1.062,11.732,26.659,,,1.81,12.94,-3.04,7.9,29.14,Financial Services,Banks - Diversified,97.76,58.42
GS,938.99,284.25207808,18.282515,14.444518,,192.0,1.311,13.885,28.917998,528.8,2.795,4.92,25.78,2.7,20.51,31.49,Financial Services,Capital Markets,984.7,439.38
MS,182.91,290.700558336,17.91479,14.86829,,219.0,1.179,15.729000000000001,23.986,420.553,,2.97,21.36,1.11,12.81,30.84,Financial Services,Capital Markets,192.68,94.33
C,117.71,210.61451776,16.839771,9.79692,,204.0,1.141,6.8309999999999995,18.893999,,,4.6,25.19,-0.32,20.09,31.67,Financial Services,Banks - Diversified,124.17,55.51
AXP,349.63,240.843210752,22.73277,17.446259,,94.0,1.128,33.992,16.174999,172.546,1.775,-4.8,6.86,-6.2,-2.18,31.84,Financial Services,Credit Services,387.49,220.43
WMT,127.71,1018.21284352,44.653847,43.001305,,74.0,0.671,23.660999999999998,3.259,66.747,0.803,11.4,23.89,13.26,24.9,25.64,Consumer Defensive,Discount Stores,128.165,79.81
HD,381.1,379.389444096,25.978188,25.33138,,241.0,1.089,162.909,8.7740004,544.586,1.051,6.03,2.55,10.2,1.46,23.44,Consumer Cyclical,Home Improvement Retail,426.75,326.31
MCD,319.48,227.982344192,27.259386,24.082455,,233.0,0.528,,32.04,,1.0,3.12,5.1,5.35,6.3,18.42,Consumer Cyclical,Restaurants,326.32,283.47
SBUX,93.04,106.000474112,77.53333,31.499582,,267.0,0.937,,3.6310002,,1.047,5.51,7.33,10.8,11.34,33.74,Consumer Cyclical,Restaurants,117.46,75.5
COST,977.92,434.155094016,52.351177,44.010124,,53.0,1.008,30.325000000000003,2.9610000000000003,26.968,1.038,7.7,3.09,14.6,7.48,21.98,Consumer Defensive,Discount Stores,1078.23,844.06
LOW,274.85,154.177519616,22.733664,21.160522,,175.0,0.978,,8.045,,1.04,8.72,15.22,11.82,15.76,25.11,Consumer Cyclical,Home Improvement Retail,281.36,206.39
JNJ,233.1,561.606688768,21.133274,18.580309,,223.0,0.347,35.557,28.456,57.766,,10.37,30.24,12.42,25.71,19.07,Healthcare,Drug Manufacturers - General,235.19,141.5
PFE,25.77,146.520686592,18.94853,9.016668,,667.0,0.441,10.597999399999999,15.654999,66.531,1.282,2.38,8.21,4.06,9.77,26.19,Healthcare,Drug Manufacturers - General,27.69,20.92
ABBV,225.66,398.82801152,172.25955,15.86575,,295.0,0.334,137.961,4.004,,0.725,1.03,9.53,-0.8,1.04,26.03,Healthcare,Drug Manufacturers - General,244.81,164.39
TMO,570.09,214.187425792,32.15398,21.168613,,30.0,0.949,13.024000999999998,15.045998999999998,73.566,1.89,-3.8,14.18,-3.78,2.19,31.99,Healthcare,Diagnostics & Research,643.99,385.46
MRK,115.84,289.343209472,15.933975,11.68787,,294.0,0.296,39.485002,29.631999999999998,79.708,1.661,10.48,33.05,8.82,34.94,29.16,Healthcare,Drug Manufacturers - General,118.45,73.31
XOM,143.73,606.133157888,21.452238,17.18196,,287.0,0.358,11.0810004,8.9049995,16.329,1.153,16.43,27.59,17.19,24.51,24.36,Energy,Oil & Gas Integrated,145.01,97.8
CVX,178.04,355.964911616,26.894258,19.487804,,400.0,0.672,28.639,6.611000000000001,21.239,,13.34,19.07,14.2,16.07,25.05,Energy,Oil & Gas Integrated,178.82,132.04
COP,104.91,131.026542592,14.817798,19.788479,,320.0,0.291,15.421000000000001,14.445,36.169,1.323,10.52,14.6,8.49,20.21,35.0,Energy,Oil & Gas E&P,106.2,79.88
PG,155.32,363.524194304,22.976332,21.223364,,272.0,0.38,31.562,19.299999,68.719,0.724,7.43,2.33,10.32,5.14,18.83,Consumer Defensive,Household & Personal Products,179.99,137.62
KO,76.89,330.90895872,25.460264,23.876732,,265.0,0.364,42.442,27.339999999999996,144.771,1.211,8.19,10.98,11.24,13.28,17.53,Consumer Defensive,Beverages - Non-Alcoholic,77.5,62.59
PEP,162.85,222.954242048,27.186981,18.044622,,349.0,0.416,37.162,7.8200005,260.19,0.912,11.36,16.46,14.5,12.51,22.63,Consumer Defensive,Beverages - Non-Alcoholic,163.44,127.6
VZ,46.25,195.036250112,11.391625,8.812511,,612.0,0.316,17.069000000000003,12.4280006,171.781,0.913,15.4,13.37,16.12,17.02,24.25,Communication Services,Telecom Services,47.36,38.39
T,26.83,190.209933312,8.825658,10.401644,,413.99999999999994,0.608,18.805,17.471999999999998,120.664,0.906,9.84,2.32,10.52,7.97,22.65,Communication Services,Telecom Services,29.79,22.95
