Ticker,Price,Market_Cap_B,PE_Ratio,Forward_PE,PEG_Ratio,Dividend_Yield,Beta,ROE,Profit_Margin,Debt_to_Equity,Current_Ratio,Price_vs_SMA50,Price_vs_SMA200,Change_1M,Change_3M,Volatility,Sector,Industry,52W_High,52W_Low
JPM,314.85,857.104318464,15.726773,13.642248,,191.0,1.053,16.134001,33.910000000000004,,,0.64,7.93,-2.83,3.52,25.65,Financial Services,Banks - Diversified,337.25,202.16
MS,182.91,290.700558336,17.91479,14.86829,,219.0,1.179,15.729000000000001,23.986,420.553,,2.97,21.36,1.11,12.81,30.84,Financial Services,Capital Markets,192.68,94.33
AXP,349.63,240.843210752,22.73277,17.446259,,94.0,1.128,33.992,16.174999,172.546,1.775,-4.8,6.86,-6.2,-2.18,31.84,Financial Services,Credit Services,387.49,220.43
TGT,111.3,50.574626816,13.49091,14.514489,,409.99999999999994,1.136,25.094998,3.576,132.062,0.975,12.13,16.71,10.74,19.74,34.59,Consumer Defensive,Discount Stores,137.05,83.44
JNJ,233.1,561.606688768,21.133274,18.580309,,223.0,0.347,35.557,28.456,57.766,,10.37,30.24,12.42,25.71,19.07,Healthcare,Drug Manufacturers - General,235.19,141.5
MRK,115.84,289.343209472,15.933975,11.68787,,294.0,0.296,39.485002,29.631999999999998,79.708,1.661,10.48,33.05,8.82,34.94,29.16,Healthcare,Drug Manufacturers - General,118.45,73.31
COP,104.91,131.026542592,14.817798,19.788479,,320.0,0.291,15.421000000000001,14.445,36.169,1.323,10.52,14.6,8.49,20.21,35.0,Energy,Oil & Gas E&P,106.2,79.88
PG,155.32,363.524194304,22.976332,21.223364,,272.0,0.38,31.562,19.299999,68.719,0.724,7.43,2.33,10.32,5.14,18.83,Consumer Defensive,Household & Personal Products,179.99,137.62
VZ,46.25,195.036250112,11.391625,8.812511,,612.0,0.316,17.069000000000003,12.4280006,171.781,0.913,15.4,13.37,16.12,17.02,24.25,Communication Services,Telecom Services,47.36,38.39
T,26.83,190.209933312,8.825658,10.401644,,413.99999999999994,0.608,18.805,17.471999999999998,120.664,0.906,9.84,2.32,10.52,7.97,22.65,Communication Services,Telecom Services,29.79,22.95
