order_num,customer_nme,order_date,docket_id,board_grade,material_dsc,width,length,order_qty
5030931-1,Moyy|Whitebird,2025-11-03,163364,N/A,Not Applicable,0.00,0.00,25
5030931-2,Moyy|Whitebird,2025-11-03,162190,"C  ",C32 K,37.15,93.03,25
5030931-3,Moyy|Whitebird,2025-11-03,163158,"E  ",E 200# Kemi 2S,48.00,48.00,25
5030932-1,Moyy|Whitebird,2025-11-03,163367,N/A,Not Applicable,0.00,0.00,25
5030932-2,Moyy|Whitebird,2025-11-03,162191,"C  ",C32 K,44.00,75.02,25
5030933-1,Moyy|Whitebird,2025-11-03,162379,N/A,Not Applicable,0.00,0.00,25
5030933-2,Moyy|Whitebird,2025-11-03,162190,"C  ",C32 K,37.15,93.03,25
5030933-3,Moyy|Whitebird,2025-11-03,162290,"E  ",E 200# Kemi 2S,48.00,48.00,25
5030942-1,Moyy|Whitebird,2025-11-04,145045,"C  ",C32 K,18.08,46.02,10000
5030961-1,Moyy|Whitebird,2025-11-05,104911,"C  ",C32 K,30.08,78.02,750
5030968-1,Moyy|Whitebird,2025-11-06,105300,"C  ",C32 K,18.08,62.02,1500
5030969-1,Moyy|Whitebird,2025-11-06,103525,"C  ",C32 K,28.08,70.02,1000
5030998-1,Moyy|Whitebird,2025-11-10,106838,"C  ",C32 K,18.10,54.02,1500
5030999-1,Moyy|Whitebird,2025-11-10,103532,"C  ",C32 K,28.10,70.03,750
5031015-1,Moyy|Whitebird,2025-11-11,103470,"C  ",C32 K,24.08,50.02,6000
5031016-1,Moyy|Whitebird,2025-11-11,109668,"C  ",C32 K,28.08,74.02,720
5031029-1,Moyy|Whitebird,2025-11-11,163353,N/A,Not Applicable,0.00,0.00,25
5031029-2,Moyy|Whitebird,2025-11-11,162184,"C  ",C32 K,45.04,78.13,1
5031029-3,Moyy|Whitebird,2025-11-11,163147,"B  ",B32 Coated White 2S,34.02,37.10,25
5031038-1,Moyy|Whitebird,2025-11-12,103738,"C  ",C32 K,20.08,70.02,1000
5031047-1,Moyy|Whitebird,2025-11-13,152169,"C  ",C32 K,26.08,66.02,2000
5031048-1,Moyy|Whitebird,2025-11-13,115066,"C  ",C32 K,32.08,66.02,1500
