customer_name,order_id,supplier_name,purchase_order_number,material,sheet_size,price,ordered_quantity,total_shipped,ordered_msf,total_msf,shipped_msf,purchase_date,requested_date,status,delivery_dockets,width,length,file_name,id
Grisson,5030268-4,Coastal Containers,2032895-1L,32C Kraft,22.14 x 77.00 Sheet,55.47,14000,2400,171.245,171.245,29.356,2025-09-05,2025-10-22,Shipped,DR-298846,22.875,77,Coastal_2032895-1L_2025-10-22_171244.pdf,1002
Bold Canine,5030699-1,Coastal Containers,2033344-1R,44C Kraft MRA Single Wall,18.12 x 59.06 Sheet,76.08,5400,5696,41.748,212.993,44.036,2025-10-16,2025-10-23,Shipped,DR-298846,18.75,59.375,Coastal_2033344-1R_2025-10-23_41748.pdf,1297
Berlo's,5030009-3,Coastal Containers,2032703-1R,32C Whitetop WRA Single Wall,33.08 x 60.14 Sheet,68.02,4100,4304,58.064,271.057,60.953,2025-08-18,2025-10-24,Shipped,DR-298846,33.5,60.875,Coastal_2032703-1R_2025-10-24_58063.pdf,832
Bold Canine,5030699-2,Coastal Containers,2033345-1R,44C Kraft MRA Single Wall,18.12 x 59.06 Sheet,76.08,5400,5674,41.748,312.805,43.866,2025-10-16,2025-10-24,Shipped,DR-298846,18.75,59.375,Coastal_2033345-1R_2025-10-24_41748.pdf,1298
RMAC,5030607-1,Coastal Containers,2033254-1E,32B Whitetop,29.00 x 26.00 Sheet,66.02,5000,4530,26.181,338.986,23.720,2025-10-09,2025-10-27,Shipped,"DR-298926,DR-298846",29,26,Coastal_2033254-1E_2025-10-27_26180.pdf,1221
Scheps,5030754-1,Coastal Containers,2033370-1L,32C Kraft,23.07 x 52.04 Sheet,60.09,1200,1322,10.205,349.191,11.243,2025-10-20,2025-10-27,Shipped,DR-298846,23.438,52.25,Coastal_2033370-1L_2025-10-27_10205.pdf,1313
Edge,5030736-1,Coastal Containers,2033382-1L,32C Whitetop,21.14 x 45.02 Sheet,68.0,2200,2436,15.081,364.272,16.699,2025-10-20,2025-10-27,Shipped,DR-298926,21.875,45.125,Coastal_2033382-1L_2025-10-27_15080.pdf,1316
Moyy|WB,5030748-1,Coastal Containers,2033430-1L,32C Kraft,18.08 x 46.02 Sheet,58.02,10000,10505,59.258,423.530,62.250,2025-10-23,2025-10-27,Shipped,DR-298965,18.5,46.125,Coastal_2033430-1L_2025-10-27_59257.pdf,1340
Ryan's,5030734-1,Coastal Containers,2033381-1R,32B Kraft WRA Single Wall,46.06 x 47.05 Sheet,60.02,3200,3362,48.758,472.288,51.226,2025-10-20,2025-10-28,Shipped,"DR-298965,DR-298926",46.375,47.312,Coastal_2033381-1R_2025-10-28_48757.pdf,1315
Schinkels,5030778-1,Coastal Containers,2033383-1L,TBA Kraft,20.14 x 72.14 Sheet,89.31,2600,2960,27.467,499.755,31.270,2025-10-20,2025-10-28,Shipped,DR-298926,20.875,72.875,Coastal_2033383-1L_2025-10-28_27467.pdf,1317
Radial,5030749-1,Coastal Containers,2033385-1L,32C Kraft,24.10 x 54.03 Sheet,58.02,5000,5256,46.333,546.088,48.705,2025-10-20,2025-10-28,Shipped,DR-298965,24.625,54.188,Coastal_2033385-1L_2025-10-28_46332.pdf,1319
,5030777-1,Coastal Containers,2033400-1R,32B Kraft MRA Single Wall,23.07 x 39.07 Sheet,60.02,7000,7361,44.934,591.022,47.251,2025-10-21,2025-10-28,Shipped,DR-298926,23.438,39.438,Coastal_2033400-1R_2025-10-28_44933.pdf,1328
Intelcom,5030763-1,Coastal Containers,2033395-1L,32C Kraft,30.08 x 62.02 Sheet,55.47,10000,1800,131.584,722.606,23.685,2025-10-21,2025-10-29,Shipped,DR-298965,30.5,62.125,Coastal_2033395-1L_2025-10-29_131584.pdf,1326
,5030773-1,Coastal Containers,2033413-1L,32C Kraft,28.10 x 82.02 Sheet,58.02,3200,3300,52.241,774.847,53.873,2025-10-22,2025-10-29,Shipped,DR-298965,28.625,82.125,Coastal_2033413-1L_2025-10-29_52240.pdf,1335
Dorken Systems,5030362-1,Coastal Containers,2033002-1R,32C Kraft,56.01 x 67.06 Sheet,58.02,2200,2212,57.707,832.554,58.022,2025-09-17,2025-11-10,Shipped,DR-298926,56.062,67.375,Coastal_2033002-1R_2025-11-10_57706.pdf,1066
